"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\Components\Navbar.jsx", "JavaScript JSX", 0, 44, 0, 0, 14, 58
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\Components\daftarPlaces.jsx", "JavaScript JSX", 0, 42, 0, 0, 17, 59
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\Components\landingpage.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 13
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\about\page.jsx", "JavaScript JSX", 0, 7, 0, 0, 2, 9
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\addPlace\route.js", "JavaScript", 25, 0, 0, 0, 7, 32
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\login\route.js", "JavaScript", 31, 0, 0, 0, 14, 45
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\places\[id]\change\route.js", "JavaScript", 17, 0, 0, 0, 6, 23
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\places\[id]\delete\route.js", "JavaScript", 22, 0, 0, 0, 6, 28
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\places\[id]\komentar\route.js", "JavaScript", 40, 0, 0, 2, 15, 57
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\places\[id]\route.js", "JavaScript", 14, 0, 0, 0, 5, 19
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\places\[id]\user\[userId]\route.js", "JavaScript", 17, 0, 0, 0, 5, 22
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\places\route.js", "JavaScript", 16, 0, 0, 0, 7, 23
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\places\user\[id]\route.js", "JavaScript", 20, 0, 0, 0, 11, 31
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\register\route.js", "JavaScript", 32, 0, 0, 0, 7, 39
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\api\users\route.js", "JavaScript", 20, 0, 0, 0, 2, 22
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\contactus\page.jsx", "JavaScript JSX", 0, 7, 0, 0, 2, 9
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\globals.css", "CSS", 0, 0, 18, 0, 4, 22
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\layout.jsx", "JavaScript JSX", 0, 16, 0, 0, 7, 23
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\login\page.jsx", "JavaScript JSX", 0, 48, 0, 0, 20, 68
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 7, 17
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\partnership\page.jsx", "JavaScript JSX", 0, 7, 0, 0, 2, 9
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\places\[id]\edit\page.jsx", "JavaScript JSX", 0, 61, 0, 1, 14, 76
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\places\[id]\page.jsx", "JavaScript JSX", 0, 94, 0, 0, 19, 113
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\places\create\page.jsx", "JavaScript JSX", 0, 40, 0, 0, 7, 47
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\app\register\page.jsx", "JavaScript JSX", 0, 43, 0, 0, 15, 58
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\lib\mongoose.js", "JavaScript", 9, 0, 0, 0, 3, 12
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\models\Bestpoints.js", "JavaScript", 47, 0, 0, 0, 4, 51
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\models\User.js", "JavaScript", 13, 0, 0, 0, 3, 16
"c:\Users\le nopo\Coding\next js\next-mongoose-approuter\src\zustand\useUserInfo.js", "JavaScript", 6, 0, 0, 0, 2, 8
"Total", "-", 329, 430, 18, 3, 229, 1009
